id	res	restype	lang	sex	prov	livingenv	partisanship	caruse	partyvote	agedec	resclean
27	We already have too much tax on gas.	oppose	EN	Male	ON	suburban	right	none	conservative	60+	alreadi much tax ga
28	It will likely not be effective and the science is uncertain.	oppose	EN	Male	ON	suburban	right	driver	conservative	30-39	like effect scienc uncertain
29	The people who will be paying, the average low and middle class people, will suffer the most financially, yet have little control over what is available to purchase on market, and did not cause the pr	oppose	EN	Female	SK	urban	none	driver	conservative	40-49	peopl pay averag low middl class peopl suffer financi yet littl control avail purchas market caus public relat
30	the government is making to much money	oppose	EN	Male	AB	urban	none	none	progressive	19-29	govern make much money
31	job killer	oppose	EN	Male	AB	smalltown	right	driver	conservative	30-39	job killer
32	It's none of the government's business	oppose	EN	Female	BC	urban	right	none	conservative	19-29	none govern busi
33	It will get people to think about their consumption. Perhaps cut back.  The price/tax will make uninformed citizens curious enough to look into why a price/tax is being implemented.	support	EN	Male	BC	urban	left	none	progressive	19-29	get peopl think consumpt perhap cut back price mak uninform citizen curiou enough look price implement tax tax
34	Phasing out the use of fossil fuels is essential to save the human race from extinction. Making fossil fuels more expensive will encourage people to find alternatives and/or use less.	support	EN	Male	AB	suburban	left	driver	progressive	60+	phase use fossil fuel essenti save human race extinct make fossil fuel anoth encourag peopl find altern use less
35	I don?t know enough about it to give a strong answer.	notsure	EN	Female	AB	urban	left	driver	conservative	30-39	know enough give strong answer
36	People will respect it more and be less wasteful	support	EN	Female	BC	suburban	none	driver	conservative	19-29	peopl respect less wast
37	How is Carbon Pricing working in China, in Russia, in India?	oppose	EN	Male	AB	suburban	right	none	conservative	60+	carbon price work china russia india
38	I believe putting price or tax on fossil fuels will help curb the extent to which humans engage in activities that might aggravate the impact of climate change in our environment.	support	EN	Male	SK	suburban	right	driver	conservative	30-39	believ put price tax fossil fuel help curb extent human engag activ might aggrav impact climat chang environ
39	It is a tax and shouldn't be used. Why does the port of Vancouver export US coal from it's port. They could cut that off and export oil & gas instead.	oppose	EN	Male	AB	urban	right	none	conservative	60+	tax use port vancouv export us coal port could cut export oil ga instead
40	Doesn’t help	oppose	EN	Female	AB	urban	right	driver	conservative	50-59	help
41	As price increases, people are more open to options and options become more affordable in comparison.	support	EN	Male	BC	suburban	right	driver	conservative	50-59	price increas peopl open option option becom afford comparison
42	Tax will not result in consumption decline, only higher costs passed along to consumers	oppose	EN	Male	ON	urban	right	none	conservative	30-39	tax result consumpt declin higher cost pass along consum
44	Will the tax money be put in the right place to help the climate	oppose	EN	Male	AB	smalltown	none	driver	conservative	60+	tax money put right place help climat
45	les gens qui utilisent ses combustion vont continuer et coupé ailleur dans leur budget	oppose	FR	Male	QC	suburban	none	driver	progressive	30-39	peopl use combust continu cut budget
46	It's just another tax grab	oppose	EN	Male	AB	suburban	right	driver	conservative	40-49	anoth tax grab
47	Because it would be incentive to make cleaner decisions	support	EN	Male	SK	urban	right	driver	progressive	30-39	would incent mak cleaner decis
48	Canada?s laws prevent wholesale destruction to the climate. There are already more than enough taxes on fossil fuels, necular and hydro energy. Any more are nothing more than a tax grab by a greedy li	oppose	EN	Male	ON	smalltown	right	none	conservative	60+	canada law prevent wholesal destruct climat alreadi enough tax fossil fuel nuclear hydroelectr energi noth tax grab greedi
49	We have no other options at this point so it isn't fair to tax when we have no choice	oppose	EN	Female	BC	suburban	right	driver	conservative	40-49	option point fair tax choic
50	It is completely nonsensical. People still need to drive. Canada is a huge country where things are widely spread out, unlike Europe. This policy forces Canadians to spend more on fuel. It won't contr	oppose	EN	Female	BC	suburban	right	none	conservative	50-59	complet nonsens peopl still need drive canada huge countri thing wide spread unlik europ polici forc canadian spend fuel
51	Les gens font attention seulement lorsqu'il est question d'argent.	support	FR	Female	QC	suburban	left	driver	progressive	30-39	peopl pay attent come money
52	The nore expensive, the less usage	support	EN	Male	BC	suburban	right	none	conservative	19-29	anoth less usag
53	takes money out of households	oppose	EN	Male	AB	urban	right	driver	conservative	40-49	take money household
55	We have a price on solid waste and liquid waste, so why does gaseous waste get a free Ride?	support	EN	Male	AB	suburban	left	none	progressive	40-49	price solid wast liquid wast gaseou wast get free ride
56	Money cannot help the environment	oppose	EN	Female	BC	suburban	none	none	progressive	30-39	money help environ
57	I can not see any changes after we paid the carbon  tax. we paid the carbon tax but don't know where these money go.	oppose	EN	Female	BC	urban	notsure	none	conservative	60+	see chang paid carbon tax paid carbon tax know money go
58	Because we need to heat our homes where we live and you are taxing people just to make more money	oppose	EN	Female	AB	smalltown	right	commuter	progressive	30-39	need heat home live tax peopl mak money
59	Because of its effect on the climate.	support	EN	Male	BC	suburban	right	commuter	progressive	40-49	effect climat
61	REDUCE ROAD TRAFFIC	support	EN	Male	BC	urban	right	driver	conservative	30-39	reduc road traffic
62	Fossil fuels are a necessity.  Other forms of energy are either not strong enough, unreliable, or not possible in Canada. (ex. wind, solar panel. Taxing fossil fuels will not reduce the carbon emissio	oppose	EN	Female	AB	ruralremote	notsure	driver	conservative	19-29	fossil fuel necess form energi either strong enough unreli possibl canada wind solar panel tax fossil fuel reduc carbon emiss
63	I like that they are trying to reduce carbon emissions but don't like the price tax.	notsure	EN	Female	AB	smalltown	none	none	conservative	30-39	like tri reduc carbon emiss like price tax
64	High polluters should pay plenty for their emissions.	support	EN	Male	BC	suburban	left	none	progressive	60+	high pollut pay plenti emiss
65	Too expensive for the average citizen. Other options to heat your house are expensive/not attainable for most ie) solar, etc. So we will still have to use these fuels no matter what but will have to p	oppose	EN	Female	ON	urban	none	driver	progressive	19-29	anoth averag citizen option heat hous anoth attain solar etc still use fuel matter
66	Are you people stupid, we live in a country with cold winters so we have to pay way more to keep warm and have a greater burden.The carbon tax has nothing to do with global warming other then it being	oppose	EN	Male	AB	ruralremote	none	none	no vote	60+	peopl stupid live countri cold winter pay way keep warm greater burden carbon tax noth global warm
67	Nous sommes tous concerné par les changements climatiques et chacun doit faire sa part.	support	FR	Male	QC	urban	left	driver	progressive	40-49	concern climat chang everyon must part
68	the average person is already paying thru e-testing other taxes,recycling, composting etc. The large corperations and airlines, trucking, buses, manufactuers, should be paying alot more than they do.	oppose	EN	Male	ON	urban	none	none	progressive	60+	averag person alreadi pay tax compost etc larg corper airlin truck buse manufactu pay alot test recycl
69	Collecting a tax isnt going to solve the issue of carbon fuels.	oppose	EN	Male	ON	urban	notsure	driver	no vote	30-39	collect tax go solv issu carbon fuel
70	We need to make a start on reducing emissions. To create change sometimes we need both a carrot and a stick to get major corporations to shift current practices.	support	EN	Male	SK	urban	left	none	progressive	50-59	need mak start reduc emiss creat chang sometim need carrot stick get major corpor shift current practic
71	Based on where you live Fossel fuels are required for heat light and travel	oppose	EN	Male	AB	smalltown	left	none	conservative	60+	base live fossil fuel requir heat light travel
72	It makes no difference in world totals. Our contributio in miniscule.	oppose	EN	Male	AB	suburban	right	none	conservative	60+	make differ world total contribut miniscul
73	Just another tax grab	oppose	EN	Male	BC	suburban	none	none	conservative	60+	anoth tax grab
74	If there is a price we will use less	support	EN	Male	AB	urban	left	none	progressive	50-59	price use less
75	With the resources in Canada and different carbon emissions formulas and equations I don't think it makes sense for Canada	oppose	EN	Male	AB	smalltown	right	driver	conservative	40-49	resourc canada differ carbon emiss formula equat think make sens canada
76	They are already over taxed and it is just a tax grab for Canadians.	oppose	EN	Male	ON	smalltown	right	none	conservative	50-59	alreadi tax tax grab canadian
77	I support tax on fossil fuels if the money is used for clean energy incentives.	support	EN	Male	BC	ruralremote	none	none	conservative	60+	support tax fossil fuel money use clean energi incent
78	ça ne changera rien si tout les pays ne font pas leur part	oppose	FR	Male	QC	urban	left	none	progressive	40-49	chang anyth countri share
79	I do.not think it will.help climate change a lot. What is needed is to EDUCATE ordinary people on what they can do to minimize the negative effects of climate change. For example, lessen the use of pl	notsure	EN	Female	BC	urban	none	none	progressive	50-59	think climat chang lot need educ ordinari peopl minim neg effect climat chang exampl lessen use help
80	car aujourd'hui acheter de petrol es un obligation pour se deplacer.. il save tres bien qu'il peuve le mettre a 2$/L le peuple reste obliger de lacheter..	oppose	FR	Male	QC	suburban	none	commuter	no vote	19-29	today buy oil oblig move know well put money peopl remain oblig let go
81	Taxes are always needed to pay for our social services and health programs  We need to protect the environment for the future generations	support	EN	Male	BC	urban	none	none	progressive	60+	tax alway need pay social servic health program need protect environ futur gener
82	Because it will help with the depletion of the ozone layer	support	EN	Male	BC	ruralremote	right	driver	conservative	30-39	help deplet ozon layer
83	Industries that produce should pay.	support	EN	Female	AB	suburban	left	driver	conservative	40-49	industri produc pay
84	Money is not use to reduced emission.  It is just a tax grab.	oppose	EN	Male	QC	suburban	right	commuter	conservative	50-59	money use reduc emiss tax grab
87	not too sure	support	EN	Male	AB	suburban	left	none	conservative	30-39	sure
88	It will persuade us to commit to reducing our emissions content.	support	EN	Male	ON	suburban	notsure	none	conservative	19-29	persuad us commit reduc emiss content
90	carbon pricing effects corporate behaviour also ? it is not just about 'me' and 'my' bills	support	EN	Female	SK	urban	left	driver	progressive	60+	carbon price effect corpor behaviour also bill
91	MINIMIZE POLLUTION	support	EN	Male	BC	urban	right	driver	conservative	30-39	minim pollut
92	studies have found that over 100 years the climate change was a fraction of 1%!  This is another way for the government to administer another tax grab!	oppose	EN	Female	SK	urban	none	none	no vote	60+	studi found year climat chang fraction anoth way govern administ anoth tax grab
93	Find alternatives	support	EN	Female	AB	urban	left	driver	progressive	19-29	find altern
94	Putting a tax on fossil fuels will make people think twice about using this form of energy and may seek other options	support	EN	Female	QC	suburban	left	driver	progressive	60+	put tax fossil fuel mak peopl think twice use form energi may seek option
95	Because it isn’t going to stop people from using vehicles. Everyone still has to get from point a to b. And you’re taxing us little people. Go after the people who make the most pollution which is the	oppose	EN	Female	AB	urban	none	driver	conservative	30-39	go stop peopl use vehicl everyon still get point tax us littl peopl go peopl mak pollut
96	I don’t burn a lot of fuel	oppose	EN	Female	SK	suburban	none	driver	progressive	50-59	burn lot fuel
97	none	support	EN	Male	SK	urban	right	driver	progressive	30-39	none
98	There has to be a better way.There is to high a cost to people in cost of living to area?s living the longest distance.Shipping	oppose	EN	Male	SK	ruralremote	right	none	conservative	60+	better way high cost peopl cost live area live longest distanc ship
99	Tired of being taxed for every little thing	oppose	EN	Female	AB	suburban	notsure	driver	conservative	50-59	tire tax everi littl thing
101	La hausse des coûts incitera a réduire leur utilisation	support	FR	Female	QC	suburban	left	commuter	conservative	30-39	cost increas encourag reduc use
102	Les compagnies responsables en partie de la pollution doivent faire leur part pour corriger les problèmes qu'ils causent. S'ils payent une taxe, c'est déjà un début de solution.	support	FR	Female	QC	suburban	none	none	progressive	50-59	compani respons part pollut must share correct problem caus pay tax alreadi start solut
103	Si cela est remis dans des moyens concrets pour enrayer le changement climatique je suis d'accord	support	FR	Female	QC	suburban	left	driver	progressive	30-39	put back concret mean stop climat chang agre
104	Pour que polluer ne soit plus un geste gratuit et sans conséquence	support	FR	Male	QC	suburban	none	driver	progressive	19-29	pollut longer free gestur without consequ
105	While I agree carbon emissions should be lower, the base level consumer shouldn't have to suffer due to increased taxes.	oppose	EN	Male	ON	suburban	right	driver	conservative	30-39	agre carbon emiss lower base level consum suffer due increas tax
106	Just another tax grab, that will change nothing, at the expense of the taxpayers and not corporations	oppose	EN	Male	SK	suburban	none	none	conservative	60+	anoth tax grab chang noth expens taxpay corpor
107	researchers get funded only if they agree to the set narratives.....look at history and all the climate hoaxes...look at all the predictions from Al Gore's movie that have been debunked and reupped in	oppose	EN	Male	BC	urban	none	driver	conservative	40-49	research get fund agre set narr histori climat hoax predict gore movi debunk reup look look
108	Tant que la Chine et l'Inde continueront comme actuellement, je crois que nos efforts ne servent pas à grand chose. La terre tourne alors...	oppose	FR	Male	QC	urban	none	none	no vote	60+	long china india continu believ effort use much earth turn
109	To eliminate people from using fossil fuels	support	EN	Male	BC	urban	right	none	progressive	19-29	elimin peopl use fossil fuel
111	ITS IMPORTANT TO PROTECT THE ENVIRONMENT, NO MATTER THE COST	support	EN	Female	QC	suburban	notsure	driver	progressive	30-39	import protect environ matter cost
112	Ce sons souvent des taxe déguiser pour faire payer plus chère le consommateur et que le détaillant reçoivent beaucoup plus en profit	oppose	FR	Male	QC	smalltown	none	driver	progressive	40-49	often disguis tax mak consum pay anoth retail receiv much profit
113	Not important	oppose	EN	Male	AB	suburban	left	driver	conservative	19-29	import
114	It does not only depend on the people save coal, gas consumption etc. There are many reasons to let the weather get warm.	oppose	EN	Male	SK	urban	left	none	progressive	40-49	depend peopl save coal ga consumpt etc mani reason let weather get warm
115	To reduce carbon use	support	EN	Male	AB	suburban	left	commuter	progressive	30-39	reduc carbon use
116	It?s a cash grab, goes into general coffers instead of helping decrease overall effectiveness	oppose	EN	Female	BC	urban	none	none	progressive	60+	cash grab goe gener coffer instead help decreas overal effect
117	I just think the money could go to other things.	oppose	EN	Female	SK	suburban	none	none	progressive	50-59	think money could go thing
119	great	support	EN	Male	SK	notsure	right	none	progressive	19-29	great
120	Parce quon payé déjà beaucoup des impôts	oppose	FR	Female	QC	suburban	right	driver	progressive	40-49	alreadi paid lot tax
121	I live in alberta	oppose	EN	Female	AB	ruralremote	none	commuter	conservative	30-39	live alberta
122	C'est de l'argent qui revient dans les poches du gouvernement mais qui ne sert pas à améliorer les causes environnementales.	oppose	FR	Female	QC	urban	none	driver	conservative	30-39	money return pocket govern use improv environment caus
123	A carbon tax may inspire Canadians to become more aware of climate change and to alter their habits to reduce carbon emissions, for instance, driving less, using less heat, and lobbying the big pollut	support	EN	Female	BC	urban	left	none	progressive	60+	carbon tax may inspir canadian becom awar climat chang alter habit reduc carbon emiss instanc drive less use less heat lobbi big pollut
124	The little shouldnt have to pay for this	oppose	EN	Male	AB	suburban	none	driver	conservative	60+	littl pay
125	Not a solution	oppose	EN	Male	SK	urban	left	none	progressive	60+	solut
127	There is evidence to prove or disprove the theory - maybe just maybe in 1000 yrs, but now - nothing	oppose	EN	Male	SK	suburban	none	none	conservative	60+	evid prove disprov theori mayb mayb year noth
128	start with huge companies before the common folk	oppose	EN	Male	SK	suburban	right	none	conservative	60+	start huge compani common folk
129	Pur aider la transition vers d'autres sources d'énergie	support	FR	Male	QC	suburban	left	commuter	progressive	50-59	pure help transit sourc energi
130	It is not going to decrease the consumption of fossil fuels. People will not change their driving patterns or heating their homes	oppose	EN	Female	AB	smalltown	none	driver	conservative	19-29	go decreas consumpt fossil fuel peopl chang drive pattern heat home
131	Because the big companies are the ones making the most cabon	oppose	EN	Female	SK	smalltown	notsure	none	conservative	60+	big compani one make carbon
